,Genre,Tags,Positive Reviews,Negative Reviews,Copies Sold,Positive Percentage
217,Strategy,Simulation,33,14,20000-50000,0.7021276595744681
218,Racing,Racing,5438,343,500000-1000000,0.940667704549386
219,Racing,Multiplayer,5438,343,500000-1000000,0.940667704549386
220,Racing,Racing,139,39,20000-50000,0.7808988764044944
221,Racing,Multiplayer,139,39,20000-50000,0.7808988764044944
222,Action,Action,793,198,100000-200000,0.8002018163471241
223,Action,FPS,793,198,100000-200000,0.8002018163471241
224,Racing,Racing,71,36,20000-50000,0.6635514018691588
225,Racing,Simulation,71,36,20000-50000,0.6635514018691588
226,Strategy,Strategy,294,69,200000-500000,0.8099173553719008
227,Strategy,RTS,294,69,200000-500000,0.8099173553719008
228,RPG,RPG,482,53,200000-500000,0.9009345794392524
229,RPG,Strategy,482,53,200000-500000,0.9009345794392524
230,Strategy,RPG,482,53,200000-500000,0.9009345794392524
231,Strategy,Strategy,482,53,200000-500000,0.9009345794392524
232,Strategy,Strategy,30,94,20000-50000,0.24193548387096775
233,Strategy,Space,30,94,20000-50000,0.24193548387096775
234,Adventure,Puzzle,256,172,50000-100000,0.5981308411214953
235,Adventure,Adventure,256,172,50000-100000,0.5981308411214953
236,Adventure,Casual,256,172,50000-100000,0.5981308411214953
237,Casual,Puzzle,256,172,50000-100000,0.5981308411214953
238,Casual,Adventure,256,172,50000-100000,0.5981308411214953
239,Casual,Casual,256,172,50000-100000,0.5981308411214953
240,Action,Action,429,137,200000-500000,0.7579505300353356
241,Action,FPS,429,137,200000-500000,0.7579505300353356
242,Casual,Casual,437,37,100000-200000,0.9219409282700421
243,Casual,Puzzle,437,37,100000-200000,0.9219409282700421
244,Casual,Casual,71,28,20000-50000,0.7171717171717171
245,Casual,Action,71,28,20000-50000,0.7171717171717171
246,Casual,Casual,1106,66,200000-500000,0.9436860068259386
247,Casual,Puzzle,1106,66,200000-500000,0.9436860068259386
248,Casual,Casual,707,58,200000-500000,0.9241830065359478
249,Casual,Puzzle,707,58,200000-500000,0.9241830065359478
250,Casual,Free to Play,707,58,200000-500000,0.9241830065359478
251,Casual,Casual,10,2,20000-50000,0.8333333333333334
252,Casual,Casual,10,3,20000-50000,0.7692307692307693
253,Casual,Hidden Object,10,3,20000-50000,0.7692307692307693
254,Casual,Casual,21,8,20000-50000,0.7241379310344828
255,Casual,Hidden Object,21,8,20000-50000,0.7241379310344828
256,Casual,Puzzle,21,8,20000-50000,0.7241379310344828
257,Casual,Casual,11,5,20000-50000,0.6875
258,Casual,Hidden Object,11,5,20000-50000,0.6875
259,Casual,Casual,23,7,20000-50000,0.7666666666666667
260,Casual,Hidden Object,23,7,20000-50000,0.7666666666666667
261,Casual,Puzzle,23,7,20000-50000,0.7666666666666667
262,Casual,Casual,368,24,200000-500000,0.9387755102040817
263,Casual,Puzzle,368,24,200000-500000,0.9387755102040817
264,Strategy,Casual,98,18,20000-50000,0.8448275862068966
265,Strategy,Strategy,98,18,20000-50000,0.8448275862068966
266,Casual,Casual,98,18,20000-50000,0.8448275862068966
267,Casual,Strategy,98,18,20000-50000,0.8448275862068966
268,Casual,Casual,8,5,20000-50000,0.6153846153846154
269,Casual,Hidden Object,8,5,20000-50000,0.6153846153846154
270,Casual,Casual,15,3,20000-50000,0.8333333333333334
